vendor_id,taxi_id,trip_id,distance,duration,fare,num_passengers
0,0,0,4.97,16.53,46.8,3
0,0,1,6.0,16.82,49.6,4
0,0,2,0.68,11.7,27.87,1
0,0,3,7.75,11.69,43.12,1
0,0,4,6.05,13.32,42.71,4
0,0,5,8.37,15.59,52.26,2
0,0,6,1.73,20.86,48.46,4
0,0,7,6.82,8.65,35.03,4
0,0,8,8.47,16.59,54.48,4
0,0,9,4.63,21.47,55.94,4
0,0,10,3.07,25.25,60.13,2
0,0,11,7.55,15.89,51.09,2
0,0,12,4.75,14.03,41.32,1
0,0,13,10.73,20.55,67.28,1
0,0,14,3.77,22.6,56.34,4
0,0,15,2.54,21.52,51.53,3
0,0,16,6.65,12.35,42.06,2
0,0,17,4.57,9.21,31.29,3
0,0,18,5.48,13.19,41.22,3
0,0,19,10.03,18.54,61.74,2
0,0,20,5.83,9.1,33.79,4
0,0,21,5.33,18.21,50.93,2
0,0,22,3.44,21.24,52.91,1
0,0,23,4.87,16.22,45.96,2
0,0,24,2.58,13.72,36.01,3
0,0,25,3.94,13.43,38.37,2
0,0,26,3.55,18.0,46.67,3
0,0,27,4.18,8.79,29.61,3
0,0,28,6.18,13.85,44.05,3
0,0,29,7.06,18.31,54.87,4
0,0,30,5.72,8.96,33.28,2
0,0,31,3.95,15.01,41.55,4
0,0,32,5.07,15.2,44.35,1
0,0,33,4.77,10.83,34.96,3
0,0,34,5.79,12.52,40.55,4
0,0,35,4.36,26.6,65.62,4
0,0,36,4.22,10.32,32.76,2
0,0,37,2.27,10.63,29.16,4
0,0,38,1.88,11.09,29.24,4
0,0,39,6.51,12.69,42.44,2
0,1,0,7.47,11.15,41.44,2
0,1,1,4.04,4.36,20.45,3
0,1,2,6.42,16.09,49.05,3
0,1,3,8.85,13.35,48.82,3
0,1,4,7.75,12.46,44.66,2
0,1,5,7.76,18.62,57.0,3
0,1,6,3.28,13.74,37.56,1
0,1,7,0.59,8.59,21.45,1
0,1,8,4.87,18.36,50.24,2
0,1,9,2.73,15.1,39.1,4
0,1,10,7.7,18.8,57.23,1
0,1,11,2.69,21.37,51.55,2
0,1,12,4.18,14.13,40.29,2
0,1,13,8.68,17.99,57.73,4
0,1,14,8.69,12.08,45.93,1
0,1,15,1.12,17.05,39.52,4
0,1,16,4.6,7.75,28.44,3
0,1,17,7.75,15.92,51.58,3
0,1,18,3.88,15.01,41.4,4
0,1,19,6.11,10.22,36.64,3
0,1,20,5.37,13.41,41.42,2
0,1,21,2.09,14.51,36.53,2
0,1,22,1.55,24.83,56.01,4
0,1,23,6.09,22.07,60.29,2
0,1,24,2.85,19.0,47.16,4
0,1,25,3.19,10.11,30.11,2
0,1,26,4.31,14.23,40.77,4
0,1,27,3.81,17.34,45.91,2
0,1,28,2.47,15.79,39.92,1
0,1,29,7.62,18.24,55.94,2
0,1,30,5.08,5.93,25.83,2
0,1,31,7.61,15.68,50.8,1
0,1,32,2.22,18.78,45.36,1
0,1,33,8.14,8.8,38.18,4
0,1,34,3.6,12.74,36.26,4
0,1,35,4.47,8.4,29.46,3
0,1,36,3.03,5.91,21.36,3
0,1,37,3.82,18.64,48.53,4
0,1,38,5.0,23.36,60.52,2
0,1,39,3.61,14.85,40.5,2
0,2,0,0.24,4.4,12.32,2
0,2,1,6.97,21.77,61.6,1
0,2,2,6.91,8.12,34.17,4
0,2,3,5.0,18.67,51.14,4
0,2,4,6.25,13.85,44.2,4
0,2,5,7.77,20.99,61.76,4
0,2,6,3.64,16.1,43.06,3
0,2,7,8.38,23.71,68.52,2
0,2,8,4.93,19.84,53.33,1
0,2,9,3.89,13.45,38.3,2
0,2,10,6.44,12.38,41.67,1
0,2,11,7.15,19.01,56.46,2
0,2,12,3.59,15.58,41.91,1
0,2,13,2.89,16.48,42.2,2
0,2,14,5.45,13.84,42.45,4
0,2,15,5.11,16.4,46.84,3
0,2,16,3.53,10.58,31.78,1
0,2,17,5.34,21.46,57.45,1
0,2,18,4.86,8.88,31.26,3
0,2,19,4.15,15.47,42.9,3
0,2,20,1.81,16.97,40.85,3
0,2,21,2.4,18.86,45.9,2
0,2,22,8.04,12.43,45.23,2
0,2,23,5.39,13.19,41.02,2
0,2,24,2.19,22.12,51.97,2
0,2,25,3.28,13.55,37.18,2
0,2,26,3.45,16.64,43.73,1
0,2,27,8.26,18.33,57.5,2
0,2,28,2.18,13.32,34.35,2
0,2,29,3.47,16.91,44.32,3
0,2,30,5.19,9.32,32.85,1
0,2,31,7.93,12.95,46.03,4
0,2,32,7.31,17.41,53.61,1
0,2,33,5.65,13.11,41.42,1
0,2,34,2.11,22.85,53.26,1
0,2,35,3.83,11.33,33.93,3
0,2,36,7.52,11.75,42.74,2
0,2,37,5.76,19.41,54.26,4
0,2,38,7.59,14.18,47.75,4
0,2,39,8.7,13.16,48.11,1
0,3,0,2.77,18.68,46.34,1
0,3,1,6.48,20.76,58.52,3
0,3,2,5.96,19.7,55.27,2
0,3,3,1.78,11.08,29.0,2
0,3,4,3.94,15.93,43.37,4
0,3,5,2.31,16.35,40.69,4
0,3,6,3.79,5.42,22.03,1
0,3,7,7.59,14.52,48.43,1
0,3,8,6.19,24.2,64.77,3
0,3,9,6.14,7.61,31.48,2
0,3,10,3.91,9.3,30.05,1
0,3,11,4.89,21.59,56.74,4
